"CN","SPCD","common","diameter","height"
499582097126144,316,"red maple",8.7,63
499582102126144,316,"red maple",9.3,40
499582103126144,316,"red maple",8.5,61
499582106126144,316,"red maple",5.4,47
499582109126144,316,"red maple",8,64
499582111126144,375,"paper birch",9.7,66
499582113126144,375,"paper birch",10,63
499582114126144,318,"sugar maple",10.8,53
499582118126144,375,"paper birch",9,67
499582126126144,316,"red maple",7,41
499582128126144,375,"paper birch",9,63
499582137126144,316,"red maple",6.8,51
499582143126144,316,"red maple",5.3,33
499582144126144,316,"red maple",10.4,60
499582145126144,316,"red maple",8.8,51
499582147126144,746,"quaking aspen",14.3,72
499582152126144,746,"quaking aspen",13.5,71
499582153126144,316,"red maple",2.5,32
499582154126144,746,"quaking aspen",2.5,24
499596344126144,12,"balsam fir",8.8,51
499596348126144,375,"paper birch",6.3,33
499596349126144,12,"balsam fir",1.9,14
499596350126144,12,"balsam fir",5.6,31
499596351126144,746,"quaking aspen",7.4,55
499596352126144,12,"balsam fir",9.7,58
499596353126144,746,"quaking aspen",7,54
499596354126144,12,"balsam fir",6.1,46
499596357126144,95,"black spruce",10.7,58
499596359126144,746,"quaking aspen",8.2,55
499596360126144,746,"quaking aspen",4.4,44
499596361126144,12,"balsam fir",5,38
499596362126144,746,"quaking aspen",7.1,55
499596363126144,746,"quaking aspen",6.1,51
499596364126144,746,"quaking aspen",6.5,52
499596365126144,12,"balsam fir",2.3,18
499596366126144,746,"quaking aspen",5.5,49
499596367126144,746,"quaking aspen",5.6,53
499596368126144,746,"quaking aspen",5.1,43
499596369126144,12,"balsam fir",12,55
499596370126144,95,"black spruce",9.7,53
499596373126144,71,"tamarack (native)",11.7,67
499596374126144,71,"tamarack (native)",9.6,63
499596376126144,95,"black spruce",3.2,23
499596377126144,95,"black spruce",7.5,48
499596378126144,95,"black spruce",6.4,46
499596380126144,71,"tamarack (native)",5.1,42
499596381126144,71,"tamarack (native)",5.4,39
499596382126144,375,"paper birch",1.4,23
499596383126144,375,"paper birch",1.2,22
499596384126144,935,"American mountain-ash",1.1,17
499596385126144,95,"black spruce",7.2,48
499596386126144,95,"black spruce",8.2,40
499596387126144,71,"tamarack (native)",20.8,75
499596388126144,95,"black spruce",9.3,42
499596389126144,95,"black spruce",6.2,43
499596390126144,95,"black spruce",3.4,37
499596394126144,95,"black spruce",4.2,40
499596395126144,94,"white spruce",6.2,31
499596396126144,12,"balsam fir",1,8
499596397126144,71,"tamarack (native)",5,50
499566025126144,241,"northern white-cedar",16,53
499566032126144,12,"balsam fir",5.7,32
499566035126144,94,"white spruce",7.9,44
499566036126144,94,"white spruce",9.1,42
499566037126144,94,"white spruce",8.2,30
499566039126144,746,"quaking aspen",2.5,26
499566040126144,746,"quaking aspen",2.2,26
499566041126144,94,"white spruce",7.5,38
499566042126144,746,"quaking aspen",2.1,24
499566043126144,746,"quaking aspen",1.3,17
499566044126144,746,"quaking aspen",1.2,16
499566045126144,746,"quaking aspen",1.2,18
499566046126144,746,"quaking aspen",1,20
499566050126144,94,"white spruce",18,65
499566053126144,371,"yellow birch",17.5,60
499566057126144,12,"balsam fir",5,29
499566060126144,241,"northern white-cedar",17.9,53
499566062126144,241,"northern white-cedar",14.7,45
499566063126144,241,"northern white-cedar",13.4,54
499566064126144,241,"northern white-cedar",17.7,48
499566065126144,241,"northern white-cedar",15.2,53
499566066126144,241,"northern white-cedar",14.7,50
499566069126144,12,"balsam fir",5.3,36
499577338126144,94,"white spruce",9.2,36
499577339126144,94,"white spruce",10.1,47
499577341126144,543,"black ash",2.1,22
499577342126144,94,"white spruce",6,34
499577343126144,94,"white spruce",5.7,32
499577345126144,543,"black ash",8,43
499577346126144,543,"black ash",9.5,46
499577350126144,935,"American mountain-ash",3.9,25
499577352126144,935,"American mountain-ash",1.8,21
499577353126144,543,"black ash",5.8,40
499577354126144,935,"American mountain-ash",1.8,23
499577355126144,935,"American mountain-ash",2.1,22
499577357126144,761,"pin cherry",2.1,19
499577358126144,94,"white spruce",9.4,34
499577359126144,543,"black ash",2,22
499577360126144,94,"white spruce",7.3,36
499577361126144,543,"black ash",1.8,21
499577362126144,543,"black ash",2.3,22
499577363126144,543,"black ash",1.8,22
499577364126144,94,"white spruce",6,33
499577365126144,543,"black ash",1,16
499577366126144,543,"black ash",1,18
499577367126144,375,"paper birch",6.3,36
499577370126144,375,"paper birch",5.9,28
499577371126144,543,"black ash",7,35
499577372126144,921,"peachleaf willow",2.4,19
499577373126144,921,"peachleaf willow",3,23
499577374126144,921,"peachleaf willow",3.1,26
499577375126144,921,"peachleaf willow",3.4,26
499577376126144,94,"white spruce",6,30
499577377126144,94,"white spruce",7.6,39
499577378126144,94,"white spruce",5.3,31
499577379126144,921,"peachleaf willow",2.3,27
499577380126144,921,"peachleaf willow",4,27
499577381126144,543,"black ash",1.3,18
499577424126144,241,"northern white-cedar",13.9,47
499577425126144,375,"paper birch",9.8,52
499577426126144,241,"northern white-cedar",13.6,54
499577427126144,12,"balsam fir",2.4,18
499577428126144,375,"paper birch",6.9,48
499577429126144,12,"balsam fir",3.2,23
499577430126144,12,"balsam fir",2.8,24
499577431126144,12,"balsam fir",2.6,21
499577432126144,12,"balsam fir",2.5,22
499577433126144,12,"balsam fir",2.1,21
499577434126144,12,"balsam fir",6.3,41
499577435126144,375,"paper birch",5.7,45
499577436126144,12,"balsam fir",6.3,29
499577437126144,12,"balsam fir",1.3,10
